maxpool
latent size single: 16
[9440/15000], training loss: 0.0516
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[9448/15000], training loss: 0.0546
[9456/15000], training loss: 0.0571
[9464/15000], training loss: 0.0531
[9472/15000], training loss: 0.0712
[9480/15000], training loss: 0.0746
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[9488/15000], training loss: 0.0511
[9496/15000], training loss: 0.0516
[9504/15000], training loss: 0.0596
[9512/15000], training loss: 0.0581
[9520/15000], training loss: 0.0609
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[9528/15000], training loss: 0.0622
[9536/15000], training loss: 0.0640
[9544/15000], training loss: 0.0549
[9552/15000], training loss: 0.0692
[9560/15000], training loss: 0.0769
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[9568/15000], training loss: 0.0729
[9576/15000], training loss: 0.0799
[9584/15000], training loss: 0.0603
[9592/15000], training loss: 0.0651
[9600/15000], training loss: 0.0755
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[9608/15000], training loss: 0.0618
[9616/15000], training loss: 0.0616
[9624/15000], training loss: 0.0555
[9632/15000], training loss: 0.0587
[9640/15000], training loss: 0.0652
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[9648/15000], training loss: 0.0721
[9656/15000], training loss: 0.0490
[9664/15000], training loss: 0.0706
[9672/15000], training loss: 0.0764
[9680/15000], training loss: 0.0534
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[9688/15000], training loss: 0.0602
[9696/15000], training loss: 0.0527
[9704/15000], training loss: 0.0934
[9712/15000], training loss: 0.0525
[9720/15000], training loss: 0.0526
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[9728/15000], training loss: 0.0507
[9736/15000], training loss: 0.0497
[9744/15000], training loss: 0.0795
[9752/15000], training loss: 0.0507
[9760/15000], training loss: 0.0647
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[9768/15000], training loss: 0.0681
[9776/15000], training loss: 0.0779
[9784/15000], training loss: 0.0621
[9792/15000], training loss: 0.0542
[9800/15000], training loss: 0.0735
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[9808/15000], training loss: 0.0826
[9816/15000], training loss: 0.0542
[9824/15000], training loss: 0.0538
[9832/15000], training loss: 0.0623
[9840/15000], training loss: 0.0534
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[9848/15000], training loss: 0.0723
[9856/15000], training loss: 0.0936
[9864/15000], training loss: 0.0553
[9872/15000], training loss: 0.0651
[9880/15000], training loss: 0.0554
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[9888/15000], training loss: 0.0447
[9896/15000], training loss: 0.0600
[9904/15000], training loss: 0.0699
[9912/15000], training loss: 0.0581
[9920/15000], training loss: 0.0747
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[9928/15000], training loss: 0.0525
[9936/15000], training loss: 0.0583
[9944/15000], training loss: 0.0474
[9952/15000], training loss: 0.0530
[9960/15000], training loss: 0.0612
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[9968/15000], training loss: 0.0720
[9976/15000], training loss: 0.0711
[9984/15000], training loss: 0.0918
[9992/15000], training loss: 0.0680
[10000/15000], training loss: 0.0767
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[10008/15000], training loss: 0.0544
[10016/15000], training loss: 0.0551
[10024/15000], training loss: 0.0563
[10032/15000], training loss: 0.0543
[10040/15000], training loss: 0.0720
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[10048/15000], training loss: 0.0597
[10056/15000], training loss: 0.0671
[10064/15000], training loss: 0.0571
[10072/15000], training loss: 0.0485
[10080/15000], training loss: 0.1172
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[10088/15000], training loss: 0.0672
[10096/15000], training loss: 0.0761
[10104/15000], training loss: 0.0511
[10112/15000], training loss: 0.0639
[10120/15000], training loss: 0.0460
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[10128/15000], training loss: 0.0653
[10136/15000], training loss: 0.0440
[10144/15000], training loss: 0.0607
[10152/15000], training loss: 0.0564
[10160/15000], training loss: 0.0527
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[10168/15000], training loss: 0.0934
[10176/15000], training loss: 0.0884
[10184/15000], training loss: 0.0533
[10192/15000], training loss: 0.0613
[10200/15000], training loss: 0.0506
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[10208/15000], training loss: 0.0733
[10216/15000], training loss: 0.0484
[10224/15000], training loss: 0.0864
[10232/15000], training loss: 0.1063
[10240/15000], training loss: 0.0701
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[10248/15000], training loss: 0.0639
[10256/15000], training loss: 0.0655
[10264/15000], training loss: 0.0574
[10272/15000], training loss: 0.0784
[10280/15000], training loss: 0.0611
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[10288/15000], training loss: 0.0679
[10296/15000], training loss: 0.0676
[10304/15000], training loss: 0.0671
[10312/15000], training loss: 0.0504
[10320/15000], training loss: 0.0641
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[10328/15000], training loss: 0.0820
[10336/15000], training loss: 0.0973
[10344/15000], training loss: 0.0610
[10352/15000], training loss: 0.0663
[10360/15000], training loss: 0.0665
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[10368/15000], training loss: 0.0724
[10376/15000], training loss: 0.0515
[10384/15000], training loss: 0.0545
[10392/15000], training loss: 0.0559
[10400/15000], training loss: 0.0510
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[10408/15000], training loss: 0.0715
[10416/15000], training loss: 0.0608
[10424/15000], training loss: 0.0706
[10432/15000], training loss: 0.0552
[10440/15000], training loss: 0.0824
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[10448/15000], training loss: 0.0677
[10456/15000], training loss: 0.0571
[10464/15000], training loss: 0.0644
[10472/15000], training loss: 0.0555
[10480/15000], training loss: 0.0657
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[10488/15000], training loss: 0.0514
[10496/15000], training loss: 0.0497
[10504/15000], training loss: 0.0621
[10512/15000], training loss: 0.0579
[10520/15000], training loss: 0.0687
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[10528/15000], training loss: 0.0495
[10536/15000], training loss: 0.0598
[10544/15000], training loss: 0.0702
[10552/15000], training loss: 0.0900
[10560/15000], training loss: 0.0713
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[10568/15000], training loss: 0.0524
[10576/15000], training loss: 0.0681
[10584/15000], training loss: 0.0792
[10592/15000], training loss: 0.0689
[10600/15000], training loss: 0.0603
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[10608/15000], training loss: 0.0763
[10616/15000], training loss: 0.0593
[10624/15000], training loss: 0.0509
[10632/15000], training loss: 0.0596
[10640/15000], training loss: 0.0561
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[10648/15000], training loss: 0.0942
[10656/15000], training loss: 0.0733
[10664/15000], training loss: 0.0563
[10672/15000], training loss: 0.0576
[10680/15000], training loss: 0.0530
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[10688/15000], training loss: 0.0638
[10696/15000], training loss: 0.0601
[10704/15000], training loss: 0.0562
[10712/15000], training loss: 0.0536
[10720/15000], training loss: 0.0523
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[10728/15000], training loss: 0.0507
[10736/15000], training loss: 0.0655
[10744/15000], training loss: 0.0875
[10752/15000], training loss: 0.0802
[10760/15000], training loss: 0.0637
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[10768/15000], training loss: 0.0576
[10776/15000], training loss: 0.0611
[10784/15000], training loss: 0.0618
[10792/15000], training loss: 0.0717
[10800/15000], training loss: 0.0504
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[10808/15000], training loss: 0.0740
[10816/15000], training loss: 0.0755
[10824/15000], training loss: 0.0491
[10832/15000], training loss: 0.0653
[10840/15000], training loss: 0.0769
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[10848/15000], training loss: 0.0701
[10856/15000], training loss: 0.0573
[10864/15000], training loss: 0.0659
[10872/15000], training loss: 0.0459
[10880/15000], training loss: 0.0592
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[10888/15000], training loss: 0.0852
[10896/15000], training loss: 0.0717
[10904/15000], training loss: 0.0729
[10912/15000], training loss: 0.0562
[10920/15000], training loss: 0.0637
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[10928/15000], training loss: 0.0592
[10936/15000], training loss: 0.0702
[10944/15000], training loss: 0.0671
[10952/15000], training loss: 0.0491
[10960/15000], training loss: 0.0533
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[10968/15000], training loss: 0.0558
[10976/15000], training loss: 0.0821
[10984/15000], training loss: 0.0546
[10992/15000], training loss: 0.0765
[11000/15000], training loss: 0.0731
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[11008/15000], training loss: 0.0760
[11016/15000], training loss: 0.0584
[11024/15000], training loss: 0.0728
[11032/15000], training loss: 0.0593
[11040/15000], training loss: 0.0777
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[11048/15000], training loss: 0.0595
[11056/15000], training loss: 0.0570
[11064/15000], training loss: 0.0746
[11072/15000], training loss: 0.0784
[11080/15000], training loss: 0.0534
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[11088/15000], training loss: 0.0507
[11096/15000], training loss: 0.0654
[11104/15000], training loss: 0.0574
[11112/15000], training loss: 0.0993
[11120/15000], training loss: 0.0682
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[11128/15000], training loss: 0.0615
[11136/15000], training loss: 0.0779
[11144/15000], training loss: 0.0833
[11152/15000], training loss: 0.0482
[11160/15000], training loss: 0.0784
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[11168/15000], training loss: 0.0747
[11176/15000], training loss: 0.0463
[11184/15000], training loss: 0.0560
[11192/15000], training loss: 0.0785
[11200/15000], training loss: 0.0885
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[11208/15000], training loss: 0.0750
[11216/15000], training loss: 0.0606
[11224/15000], training loss: 0.0620
[11232/15000], training loss: 0.0638
[11240/15000], training loss: 0.0564
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[11248/15000], training loss: 0.0736
[11256/15000], training loss: 0.0561
[11264/15000], training loss: 0.0605
[11272/15000], training loss: 0.0799
[11280/15000], training loss: 0.0638
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[11288/15000], training loss: 0.0472
[11296/15000], training loss: 0.0614
[11304/15000], training loss: 0.0625
[11312/15000], training loss: 0.0545
[11320/15000], training loss: 0.0652
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[11328/15000], training loss: 0.0609
[11336/15000], training loss: 0.0563
[11344/15000], training loss: 0.0580
[11352/15000], training loss: 0.0613
[11360/15000], training loss: 0.0603
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[11368/15000], training loss: 0.0783
[11376/15000], training loss: 0.0659
[11384/15000], training loss: 0.0527
[11392/15000], training loss: 0.0533
[11400/15000], training loss: 0.0542
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[11408/15000], training loss: 0.0525
[11416/15000], training loss: 0.0628
[11424/15000], training loss: 0.0686
[11432/15000], training loss: 0.0569
[11440/15000], training loss: 0.0566
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[11448/15000], training loss: 0.0485
[11456/15000], training loss: 0.0780
[11464/15000], training loss: 0.0613
[11472/15000], training loss: 0.0722
[11480/15000], training loss: 0.0549
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[11488/15000], training loss: 0.0620
[11496/15000], training loss: 0.0712
[11504/15000], training loss: 0.0635
[11512/15000], training loss: 0.0885
[11520/15000], training loss: 0.0684
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[11528/15000], training loss: 0.0638
[11536/15000], training loss: 0.0808
[11544/15000], training loss: 0.0597
[11552/15000], training loss: 0.0540
[11560/15000], training loss: 0.0557
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[11568/15000], training loss: 0.0607
[11576/15000], training loss: 0.0644
[11584/15000], training loss: 0.0529
[11592/15000], training loss: 0.0665
[11600/15000], training loss: 0.0528
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[11608/15000], training loss: 0.0647
[11616/15000], training loss: 0.0673
[11624/15000], training loss: 0.0510
[11632/15000], training loss: 0.0521
[11640/15000], training loss: 0.0524
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[11648/15000], training loss: 0.0710
[11656/15000], training loss: 0.0659
[11664/15000], training loss: 0.0589
[11672/15000], training loss: 0.0637
[11680/15000], training loss: 0.0483
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[11688/15000], training loss: 0.0566
[11696/15000], training loss: 0.0703
[11704/15000], training loss: 0.0464
[11712/15000], training loss: 0.0608
[11720/15000], training loss: 0.0516
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[11728/15000], training loss: 0.0614
[11736/15000], training loss: 0.0565
[11744/15000], training loss: 0.0749
[11752/15000], training loss: 0.0508
[11760/15000], training loss: 0.0827
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[11768/15000], training loss: 0.0646
[11776/15000], training loss: 0.0568
[11784/15000], training loss: 0.0619
[11792/15000], training loss: 0.0664
[11800/15000], training loss: 0.0580
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[11808/15000], training loss: 0.0511
[11816/15000], training loss: 0.0603
[11824/15000], training loss: 0.0794
[11832/15000], training loss: 0.0734
[11840/15000], training loss: 0.0771
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[11848/15000], training loss: 0.0602
[11856/15000], training loss: 0.0549
[11864/15000], training loss: 0.0866
[11872/15000], training loss: 0.0584
[11880/15000], training loss: 0.0787
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[11888/15000], training loss: 0.0534
[11896/15000], training loss: 0.0790
[11904/15000], training loss: 0.0510
[11912/15000], training loss: 0.0704
[11920/15000], training loss: 0.0694
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[11928/15000], training loss: 0.0864
[11936/15000], training loss: 0.0612
[11944/15000], training loss: 0.0535
[11952/15000], training loss: 0.0569
[11960/15000], training loss: 0.0792
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[11968/15000], training loss: 0.0846
[11976/15000], training loss: 0.0837
[11984/15000], training loss: 0.0859
[11992/15000], training loss: 0.0542
[12000/15000], training loss: 0.0752
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[12008/15000], training loss: 0.0699
[12016/15000], training loss: 0.0680
[12024/15000], training loss: 0.0838
[12032/15000], training loss: 0.0478
[12040/15000], training loss: 0.0657
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[12048/15000], training loss: 0.0819
[12056/15000], training loss: 0.0505
[12064/15000], training loss: 0.0715
[12072/15000], training loss: 0.0590
[12080/15000], training loss: 0.0535
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[12088/15000], training loss: 0.0727
[12096/15000], training loss: 0.0747
[12104/15000], training loss: 0.0713
[12112/15000], training loss: 0.0699
[12120/15000], training loss: 0.0524
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[12128/15000], training loss: 0.0726
[12136/15000], training loss: 0.0492
[12144/15000], training loss: 0.0570
[12152/15000], training loss: 0.0671
[12160/15000], training loss: 0.0737
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[12168/15000], training loss: 0.0672
[12176/15000], training loss: 0.0562
[12184/15000], training loss: 0.0909
[12192/15000], training loss: 0.0695
[12200/15000], training loss: 0.0675
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[12208/15000], training loss: 0.0685
[12216/15000], training loss: 0.0510
[12224/15000], training loss: 0.0576
[12232/15000], training loss: 0.0561
[12240/15000], training loss: 0.0559
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[12248/15000], training loss: 0.0668
[12256/15000], training loss: 0.0612
[12264/15000], training loss: 0.0549
[12272/15000], training loss: 0.0559
[12280/15000], training loss: 0.0649
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[12288/15000], training loss: 0.0535
[12296/15000], training loss: 0.0836
[12304/15000], training loss: 0.0569
[12312/15000], training loss: 0.0533
[12320/15000], training loss: 0.0601
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[12328/15000], training loss: 0.0664
[12336/15000], training loss: 0.0479
[12344/15000], training loss: 0.0730
[12352/15000], training loss: 0.0658
[12360/15000], training loss: 0.0476
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[12368/15000], training loss: 0.0492
[12376/15000], training loss: 0.0694
[12384/15000], training loss: 0.0610
[12392/15000], training loss: 0.0824
[12400/15000], training loss: 0.0638
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[12408/15000], training loss: 0.0619
[12416/15000], training loss: 0.0596
[12424/15000], training loss: 0.0819
[12432/15000], training loss: 0.0622
[12440/15000], training loss: 0.0556
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[12448/15000], training loss: 0.0629
[12456/15000], training loss: 0.0471
[12464/15000], training loss: 0.0691
[12472/15000], training loss: 0.0825
[12480/15000], training loss: 0.0719
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[12488/15000], training loss: 0.0595
[12496/15000], training loss: 0.0680
[12504/15000], training loss: 0.0475
[12512/15000], training loss: 0.0500
[12520/15000], training loss: 0.0604
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[12528/15000], training loss: 0.0636
[12536/15000], training loss: 0.0708
[12544/15000], training loss: 0.0816
[12552/15000], training loss: 0.0551
[12560/15000], training loss: 0.0702
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[12568/15000], training loss: 0.0646
[12576/15000], training loss: 0.0738
[12584/15000], training loss: 0.0557
[12592/15000], training loss: 0.0593
[12600/15000], training loss: 0.0486
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[12608/15000], training loss: 0.0500
[12616/15000], training loss: 0.0557
[12624/15000], training loss: 0.0530
[12632/15000], training loss: 0.0535
[12640/15000], training loss: 0.0967
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[12648/15000], training loss: 0.0566
[12656/15000], training loss: 0.0535
[12664/15000], training loss: 0.0611
[12672/15000], training loss: 0.0490
[12680/15000], training loss: 0.0698
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[12688/15000], training loss: 0.0656
[12696/15000], training loss: 0.0741
[12704/15000], training loss: 0.0513
[12712/15000], training loss: 0.0538
[12720/15000], training loss: 0.0572
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[12728/15000], training loss: 0.0681
[12736/15000], training loss: 0.0603
[12744/15000], training loss: 0.0582
[12752/15000], training loss: 0.0547
[12760/15000], training loss: 0.0636
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[12768/15000], training loss: 0.0462
[12776/15000], training loss: 0.0549
[12784/15000], training loss: 0.0574
[12792/15000], training loss: 0.0853
[12800/15000], training loss: 0.0627
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[12808/15000], training loss: 0.0506
[12816/15000], training loss: 0.0596
[12824/15000], training loss: 0.0592
[12832/15000], training loss: 0.0936
[12840/15000], training loss: 0.0532
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[12848/15000], training loss: 0.0597
[12856/15000], training loss: 0.0647
[12864/15000], training loss: 0.0493
[12872/15000], training loss: 0.0649
[12880/15000], training loss: 0.0684
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[12888/15000], training loss: 0.0718
[12896/15000], training loss: 0.0732
[12904/15000], training loss: 0.0724
[12912/15000], training loss: 0.0841
[12920/15000], training loss: 0.1034
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[12928/15000], training loss: 0.0512
[12936/15000], training loss: 0.0757
[12944/15000], training loss: 0.0588
[12952/15000], training loss: 0.0560
[12960/15000], training loss: 0.0982
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[12968/15000], training loss: 0.0684
[12976/15000], training loss: 0.0541
[12984/15000], training loss: 0.0621
[12992/15000], training loss: 0.0541
[13000/15000], training loss: 0.0603
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[13008/15000], training loss: 0.0591
[13016/15000], training loss: 0.0537
[13024/15000], training loss: 0.0451
[13032/15000], training loss: 0.0620
[13040/15000], training loss: 0.0567
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[13048/15000], training loss: 0.0517
[13056/15000], training loss: 0.0731
[13064/15000], training loss: 0.0545
[13072/15000], training loss: 0.0477
[13080/15000], training loss: 0.0714
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[13088/15000], training loss: 0.0608
[13096/15000], training loss: 0.0769
[13104/15000], training loss: 0.0611
[13112/15000], training loss: 0.0646
[13120/15000], training loss: 0.0504
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[13128/15000], training loss: 0.0580
[13136/15000], training loss: 0.0719
[13144/15000], training loss: 0.0595
[13152/15000], training loss: 0.0502
[13160/15000], training loss: 0.0580
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[13168/15000], training loss: 0.0706
[13176/15000], training loss: 0.0554
[13184/15000], training loss: 0.0462
[13192/15000], training loss: 0.0627
[13200/15000], training loss: 0.0714
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[13208/15000], training loss: 0.0694
[13216/15000], training loss: 0.0711
[13224/15000], training loss: 0.0602
[13232/15000], training loss: 0.0565
[13240/15000], training loss: 0.0612
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[13248/15000], training loss: 0.0503
[13256/15000], training loss: 0.0708
[13264/15000], training loss: 0.0880
[13272/15000], training loss: 0.0743
[13280/15000], training loss: 0.0508
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[13288/15000], training loss: 0.0553
[13296/15000], training loss: 0.0619
[13304/15000], training loss: 0.0722
[13312/15000], training loss: 0.0454
[13320/15000], training loss: 0.0525
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[13328/15000], training loss: 0.0823
[13336/15000], training loss: 0.0587
[13344/15000], training loss: 0.1011
[13352/15000], training loss: 0.0707
[13360/15000], training loss: 0.0480
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[13368/15000], training loss: 0.0513
[13376/15000], training loss: 0.0569
[13384/15000], training loss: 0.0640
[13392/15000], training loss: 0.0517
[13400/15000], training loss: 0.0725
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[13408/15000], training loss: 0.0640
[13416/15000], training loss: 0.0524
[13424/15000], training loss: 0.0760
[13432/15000], training loss: 0.0501
[13440/15000], training loss: 0.0623
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[13448/15000], training loss: 0.0765
[13456/15000], training loss: 0.0698
[13464/15000], training loss: 0.0657
[13472/15000], training loss: 0.0578
[13480/15000], training loss: 0.0452
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[13488/15000], training loss: 0.0657
[13496/15000], training loss: 0.0500
[13504/15000], training loss: 0.0503
[13512/15000], training loss: 0.0575
[13520/15000], training loss: 0.0544
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[13528/15000], training loss: 0.0458
[13536/15000], training loss: 0.0491
[13544/15000], training loss: 0.0574
[13552/15000], training loss: 0.0517
[13560/15000], training loss: 0.0483
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[13568/15000], training loss: 0.0643
[13576/15000], training loss: 0.0542
[13584/15000], training loss: 0.0664
[13592/15000], training loss: 0.0625
[13600/15000], training loss: 0.0603
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[13608/15000], training loss: 0.0577
[13616/15000], training loss: 0.0726
[13624/15000], training loss: 0.0506
[13632/15000], training loss: 0.0775
[13640/15000], training loss: 0.0934
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[13648/15000], training loss: 0.0651
[13656/15000], training loss: 0.0558
[13664/15000], training loss: 0.0717
[13672/15000], training loss: 0.0789
[13680/15000], training loss: 0.0539
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[13688/15000], training loss: 0.0726
[13696/15000], training loss: 0.0660
[13704/15000], training loss: 0.0574
[13712/15000], training loss: 0.0914
[13720/15000], training loss: 0.0485
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[13728/15000], training loss: 0.0644
[13736/15000], training loss: 0.0748
[13744/15000], training loss: 0.0506
[13752/15000], training loss: 0.0578
[13760/15000], training loss: 0.0754
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[13768/15000], training loss: 0.0681
[13776/15000], training loss: 0.0556
[13784/15000], training loss: 0.0583
[13792/15000], training loss: 0.0709
[13800/15000], training loss: 0.0868
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[13808/15000], training loss: 0.0802
[13816/15000], training loss: 0.0522
[13824/15000], training loss: 0.0640
[13832/15000], training loss: 0.0572
[13840/15000], training loss: 0.0849
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[13848/15000], training loss: 0.0759
[13856/15000], training loss: 0.0464
[13864/15000], training loss: 0.0529
[13872/15000], training loss: 0.0720
[13880/15000], training loss: 0.0522
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[13888/15000], training loss: 0.0527
[13896/15000], training loss: 0.0521
[13904/15000], training loss: 0.0536
[13912/15000], training loss: 0.0549
[13920/15000], training loss: 0.0670
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[13928/15000], training loss: 0.0587
[13936/15000], training loss: 0.0727
[13944/15000], training loss: 0.0675
[13952/15000], training loss: 0.1013
[13960/15000], training loss: 0.0519
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[13968/15000], training loss: 0.0703
[13976/15000], training loss: 0.0668
[13984/15000], training loss: 0.0752
[13992/15000], training loss: 0.0624
[14000/15000], training loss: 0.0547
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[14008/15000], training loss: 0.1140
[14016/15000], training loss: 0.0520
[14024/15000], training loss: 0.0756
[14032/15000], training loss: 0.0958
[14040/15000], training loss: 0.0546
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[14048/15000], training loss: 0.0583
[14056/15000], training loss: 0.0698
[14064/15000], training loss: 0.0505
[14072/15000], training loss: 0.0615
[14080/15000], training loss: 0.0722
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[14088/15000], training loss: 0.0629
[14096/15000], training loss: 0.0675
[14104/15000], training loss: 0.0672
[14112/15000], training loss: 0.0532
[14120/15000], training loss: 0.0670
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
